date	PMptp
2015-01-01	21
2015-01-02	26
2015-01-05	28
2015-01-06	18
2015-01-07	26
2015-01-08	23
2015-01-09	20
2015-01-10	35
2015-01-11	17
2015-01-12	14
2015-01-13	13
2015-01-14	11
2015-01-15	7
2015-01-16	14
2015-01-17	17
2015-01-18	3
2015-01-19	19
2015-01-20	19
2015-01-21	14
2015-01-22	18
2015-01-23	19
2015-01-24	14
2015-01-25	22
2015-01-26	24
2015-01-27	26
2015-01-28	17
2015-01-31	22
2015-02-01	20
2015-02-02	14
2015-02-03	28
2015-02-04	14
2015-02-05	NULL
2015-02-10	29
2015-02-11	24
2015-02-12	19
2015-02-13	30
2015-02-14	20
2015-02-15	21
2015-02-16	21
2015-02-17	18
2015-02-18	18
2015-02-19	27
2015-02-20	21
2015-02-21	19
2015-02-22	18
2015-02-23	18
2015-02-24	24
2015-02-25	21
2015-02-26	20
2015-02-27	23
2015-02-28	22
2015-03-01	23
2015-03-02	62
2015-03-03	48
2015-03-04	28
2015-03-05	21
2015-03-06	26
2015-03-07	22
2015-03-08	17
2015-03-09	31
2015-03-10	25
2015-03-11	23
2015-03-12	54
2015-03-13	98
2015-03-14	42
2015-03-15	39
2015-03-16	49
2015-03-17	36
2015-03-18	33
2015-03-19	34
2015-03-20	24
2015-03-21	20
2015-03-22	23
2015-03-23	25
2015-03-24	27
2015-03-25	21
2015-03-26	25
2015-03-27	28
2015-03-28	29
2015-03-29	28
2015-03-30	26
2015-03-31	24
2015-04-01	23
2015-04-02	20
2015-04-03	23
2015-04-04	30
2015-04-05	34
2015-04-06	43
2015-04-07	31
2015-04-08	35
2015-04-09	34
2015-04-10	35
2015-04-11	38
2015-04-12	41
2015-04-13	49
2015-04-14	44
2015-04-15	40
2015-04-16	78
2015-04-17	29
2015-04-18	47
2015-04-19	54
2015-04-20	25
2015-04-21	19
2015-04-22	22
2015-05-08	64
2015-05-09	46
2015-05-10	49
2015-05-11	48
2015-05-12	37
2015-05-13	31
2015-05-14	43
2015-05-15	72
2015-05-16	66
2015-05-17	58
2015-05-18	39
2015-05-19	51
2015-05-20	58
2015-05-21	86
2015-05-22	88
2015-05-23	77
2015-05-24	43
2015-05-25	53
2015-05-26	41
2015-05-27	30
2015-05-28	26
2015-05-29	39
2015-05-30	57
2015-05-31	50
2015-06-01	28
2015-06-02	24
2015-06-03	30
2015-06-04	41
2015-06-05	49
2015-06-06	56
2015-06-07	54
2015-06-08	34
2015-06-09	25
2015-06-10	24
2015-06-11	37
2015-06-12	49
2015-06-13	54
2015-06-14	46
2015-06-15	50
2015-06-16	47
2015-06-17	66
2015-06-18	68
2015-06-19	45
2015-06-20	36
2015-06-21	31
2015-06-22	18
2015-06-23	99
2015-06-24	83
2015-06-25	34
2015-06-26	54
2015-06-27	66
2015-06-28	63
2015-06-29	56
2015-07-01	45
2015-07-02	53
2015-07-03	68
2015-07-04	78
2015-07-05	45
2015-07-06	52
2015-07-07	44
2015-07-08	38
2015-07-09	23
2015-07-10	23
2015-07-11	46
2015-07-12	50
2015-07-13	28
2015-07-14	47
2015-07-15	50
2015-07-16	53
2015-07-17	74
2015-07-18	75
2015-07-19	41
2015-07-20	54
2015-07-21	55
2015-07-22	51
2015-07-23	65
2015-07-24	39
2015-07-25	61
2015-07-26	55
2015-07-27	46
2015-07-28	55
2015-07-29	64
2015-07-30	68
2015-07-31	57
2015-08-01	43
2015-08-02	46
2015-08-03	44
2015-08-04	22
2015-08-05	17
2015-08-06	15
2015-08-07	19
2015-08-10	12
2015-08-11	20
2015-08-12	18
2015-08-13	24
2015-08-14	23
2015-08-15	39
2015-08-16	25
2015-08-17	17
2015-08-18	17
2015-08-19	35
2015-08-20	66
2015-08-21	49
2015-08-22	27
2015-08-23	26
2015-08-24	19
2015-08-25	50
2015-08-26	44
2015-08-28	41
2015-08-29	24
2015-08-30	39
2015-08-31	39
2015-09-01	27
2015-09-02	51
2015-09-03	48
2015-09-04	23
2015-09-05	NULL
2015-09-06	37
2015-09-07	41
2015-09-08	32
2015-09-09	54
2015-09-10	42
2015-09-11	21
2015-09-12	31
2015-09-13	53
2015-09-14	38
2015-09-15	58
2015-09-16	66
2015-09-17	47
2015-09-18	42
2015-09-19	35
2015-09-20	46
2015-09-22	19
2015-09-23	15
2015-09-24	12
2015-09-25	12
2015-09-26	12
2015-09-27	13
2015-09-28	20
2015-09-29	16
2015-09-30	13
2015-10-01	13
2015-10-02	16
2015-10-03	18
2015-10-04	16
2015-10-05	11
2015-10-06	17
2015-10-07	14
2015-10-08	26
2015-10-09	65
2015-10-10	35
2015-10-11	21
2015-10-12	16
2015-10-13	23
2015-10-14	15
2015-10-15	20
2015-10-16	21
2015-10-17	15
2015-10-18	18
2015-10-19	22
2015-10-20	22
2015-10-21	18
2015-10-22	19
2015-10-23	19
2015-10-24	16
2015-10-25	14
2015-10-26	18
2015-10-27	17
2015-10-28	24
2015-10-29	16
2015-10-30	16
2015-10-31	19
2015-11-01	23
2015-11-02	15
2015-11-03	18
2015-11-04	18
2015-11-05	NULL
2015-11-06	20
2015-11-07	14
2015-11-08	25
2015-11-09	33
2015-11-10	28
2015-11-12	20
2015-11-13	15
2015-11-14	15
2015-11-15	14
2015-11-16	28
2015-11-17	28
2015-11-18	38
2015-11-19	25
2015-11-20	22
2015-11-21	19
2015-11-22	14
2015-11-23	19
2015-11-24	26
2015-11-25	39
2015-11-26	30
2015-11-27	18
2015-11-28	20
2015-11-29	NULL
2015-11-30	22
2015-12-01	19
2015-12-02	20
2015-12-03	20
2015-12-04	20
2015-12-05	19
2015-12-06	15
2015-12-07	17
2015-12-08	16
2015-12-09	15
2015-12-10	20
2015-12-11	34
2015-12-12	30
2015-12-13	19
2015-12-14	18
2015-12-15	17
2015-12-16	20
2015-12-17	15
2015-12-18	18
2015-12-19	28
2015-12-20	25
2015-12-21	24
2015-12-22	22
2015-12-23	18
2015-12-24	15
2015-12-25	14
2015-12-26	17
2015-12-27	14
2015-12-28	13
2015-12-29	13
2015-12-30	12
2015-12-31	15
